run,Controller,duration_h,CO2_total_gh,heat_total_kW
CF,Chamber 4,2.6,0.6691173155440717,0.00189337101172629
CF,Chamber 4,2.6333333333333333,0.6609363079550407,0.00187022158447945
CF,Chamber 4,2.6666666666666665,0.8091672441080364,0.0022896639618224
CF,Chamber 4,2.7,0.9402252075814918,0.00266051275489952
CF,Chamber 4,2.7333333333333334,0.9255395133408998,0.00261895730996293
CF,Chamber 4,2.7666666666666666,0.9189528254863628,0.00260031925717703
CF,Chamber 4,2.8,0.894141563217853,0.00253011195024859
CF,Chamber 4,2.8333333333333335,0.8829600259052706,0.00249847205972062
CF,Chamber 4,2.8666666666666667,1.1325396431806287,0.00320469621726267
CF,Chamber 4,2.9,1.197819148556986,0.00338941468182508
CF,Chamber 4,2.933333333333333,1.1857289731412397,0.00335520365914329
CF,Chamber 4,2.966666666666667,1.216022312993544,0.00344092335312264
CF,Chamber 4,3,1.2123001504154725,0.00343039091798379
CF,Chamber 4,3.033333333333333,1.0858047705886824,0.00307245266154126
CF,Chamber 4,3.066666666666667,1.3806890243455994,0.0039068733003554
CF,Chamber 4,3.1,1.3871153324669137,0.00392505753386223
CF,Chamber 4,3.1333333333333333,1.1189731732055337,0.0031663077906212
CF,Chamber 4,3.1666666666666665,1.038789624594273,0.00293941602884627
CF,Chamber 4,3.2,1.2226433379919543,0.00345965856817191
CF,Chamber 4,3.2333333333333334,1.218215543350215,0.00344712943788968
CF,Chamber 4,3.2666666666666666,1.2568483099209322,0.0035564468305629
CF,Chamber 4,3.3,1.186213887508524,0.00335657579940159
CF,Chamber 4,3.3333333333333335,1.153170180354168,0.00326307351543341
CF,Chamber 4,3.3666666666666667,1.1629807679502826,0.00329083409154013
CF,Chamber 4,3.4,0.9883409535668009,0.00279666370562196
CF,Chamber 4,3.433333333333333,1.0734766037863197,0.00303756820539422
CF,Chamber 4,3.466666666666667,1.1849656790142806,0.00335304380026678
CF,Chamber 4,3.5,1.3132187050109223,0.0037159555885991
CF,Chamber 4,3.533333333333333,1.3617133220320004,0.0038531786135597
CF,Chamber 4,3.566666666666667,1.4067306487586002,0.00398056210740973
CF,Chamber 4,3.6,1.393473631463899,0.00394304932502518
CF,Chamber 4,3.6333333333333337,1.3831392178307569,0.00391380650206778
CF,Chamber 4,3.6666666666666665,1.396988288201858,0.00395299459027124
CF,Chamber 4,3.7,1.3843192503824922,0.00391714558682086
CF,Chamber 4,3.7333333333333334,1.2568625179150297,0.00355648703428135
CF,Chamber 4,3.7666666666666666,1.2338168438150072,0.00349127573235712
CF,Chamber 4,3.8,1.1777833030340463,0.00333272015572735
CF,Chamber 4,3.8333333333333335,1.2782660408726485,0.00361705161537252
CF,Chamber 4,3.8666666666666663,1.2905413835353814,0.00365178659744024
CF,Chamber 4,3.9,1.3031072373937256,0.00368734362590188
CF,Chamber 4,3.933333333333333,1.2676734839453856,0.00358707833600844
CF,Chamber 4,3.966666666666667,1.2965422142176477,0.00366876687667698
CF,Chamber 4,4,1.2791651938272075,0.00361959590783024
